"","sent_pair_id","verb_id","verb","classification","IO","frequency_rank","diff_avg","diff_gpt2","diff_gpt2_med","diff_gpt2_large","diff_gpt2_xl","mean_z_DOsentence","mean_z_PDsentence","mean_scores_DOsentence","mean_scores_PDsentence","human_zdiff","human_sdiff"
"111",111,11,"presented","non-alternating","longIndefinite",11,0.950509929656982,0.839542388916016,0.655586719512939,0.655586719512939,0.655586719512939,0.658016068862002,1.08980345183323,80.05,93.2,0.431787382971227,13.15
"112",112,11,"presented","non-alternating","shortIndefinite",11,0.97761116027832,0.661804676055908,0.650329113006592,0.650329113006592,0.650329113006592,0.707640210945855,1.01017741111149,80.05,94.4782608695652,0.302537200165637,14.4282608695652
"113",113,13,"addressed","non-alternating","longIndefinite",13,1.26620817184448,1.18317222595215,0.7283616065979,0.7283616065979,0.7283616065979,-0.604905045914852,0.775257675869753,31.3333333333333,80.25,1.38016272178461,48.9166666666667
"114",114,13,"addressed","non-alternating","shortIndefinite",13,1.21782865524292,0.871722221374512,1.60883331298828,1.60883331298828,1.60883331298828,-0.653905816590003,0.79801698162171,27.75,85,1.45192279821171,57.25
"115",115,15,"admitted","non-alternating","longIndefinite",15,0.95374608039856,0.733512878417969,0.766225814819336,0.766225814819336,0.766225814819336,-0.738374162814164,0.789500725311122,26.8695652173913,83.25,1.52787488812529,56.3804347826087
"116",116,15,"admitted","non-alternating","shortIndefinite",15,1.01401376724243,0.649991035461426,1.02721786499023,1.02721786499023,1.02721786499023,-0.804453790777614,0.97297162631542,24.85,89.55,1.77742541709303,64.7
"117",117,17,"announced","non-alternating","longIndefinite",17,1.44907207489014,0.829668045043945,1.02834749221802,1.02834749221802,1.02834749221802,-0.735087335565742,0.761260221278159,28.5,84.9523809523809,1.4963475568439,56.4523809523809
"118",118,17,"announced","non-alternating","shortIndefinite",17,1.31934595108032,1.28663921356201,1.2310962677002,1.2310962677002,1.2310962677002,-0.722901166635652,0.880738096000083,29.2,86.1,1.60363926263574,56.9
"119",119,19,"expressed","non-alternating","longIndefinite",19,1.79569978713989,1.33242797851562,1.56322765350342,1.56322765350342,1.56322765350342,-0.81921099393687,0.890122217051684,28.9,90.3478260869565,1.70933321098855,61.4478260869565
"120",120,19,"expressed","non-alternating","shortIndefinite",19,1.87626485824585,1.9067325592041,2.0950665473938,2.0950665473938,2.0950665473938,-0.513822273671843,1.03862280308284,33.2,91.75,1.55244507675468,58.55
"121",121,21,"contributed","non-alternating","longIndefinite",21,1.57569980621338,1.70981168746948,1.42188167572021,1.42188167572021,1.42188167572021,-0.864741624198325,0.612360466313263,19.4,77.5,1.47710209051159,58.1
"122",122,21,"contributed","non-alternating","shortIndefinite",21,1.74508171081543,2.14355039596558,0.895081996917725,0.895081996917725,0.895081996917725,-0.668281090697941,0.377083560203425,28.047619047619,68.1,1.04536465090137,40.0523809523809
